Order_ID,Customer_ID,Customer_Name,Email,Phone,Movie_Title,Theatre,City,Show_Date,Show_Time,Booking_Date,Seat_Type,Quantity,Price,Discount,Total_Amount,Payment_Mode,Payment_Status,Booking_Channel,Seat_Numbers,Feedback_Score,Remarks,Sales_Agent,Is_Refunded,Booking_ID,Screen,Ticket_Type,Promo_Code,Loyalty_Points
ORD109720,CUST6419,Priya Singh,priya395@example.com,12345,Love & Pixels,PVR Phoenix,Delhi,10-09-2020,13:45,31-08-2020,Reguler,0,1044.37,0,,card,Failed,,,2,,Agent A,,BKG44801,Screen 1,Family,NEW50,0
ORD107869,CUST29808,Ravi Kumar,ravi606@example.com,,Midnight Sonata,Grand Theatre,Kolkata,21-01-2021,16:00,28-12-2020,Regular,3,1492.13,10,4038.75,,,online,"C20,B12,A1",,VIP guest,,FALSE,BKG91309,,Family,save10,200
ORD107578,CUST4789,,user503@example.com,9.18304E+11,Final Alarm,Inox Mall,Ahmedabad,16-06-2025,23:30,31-05-2025,VIP,2,637.87,50,637.87,,Paid,Box Office,"A2,A27",-1,VIP guest,Agent B,FALSE,BKG88708,Screen 3,Single,,50
ORD107065,CUST18879,Sangeetha K,sangeetha366@example.com,98765 43210,Ocean's Whisper,Inox Mall,Mumbai,26-11-2023,13:45,25-11-2023,Regular,4,694.55,-5,2917.11,UPI,,third party,"C3,C11,B22,C10",6,Cancelled,Agent A,TRUE,BKG34048,Screen 3,,NEW50,100
ORD104211,CUST43989,John Doe,john861@example.com,98765 43210,Ocean's Whisper,Grand Theatre,Bengaluru,16-04-2023,20:30,16-04-2023,,0,494.59,5,,Cahs,Paid,Third-Party,,4,Late arrival,Agent B,TRUE,BKG15632,Screen 1,Family,save10,
ORD105083,CUST85004,,user606@example.com,,Love & Pixels,Regal Cinema,Ahmedabad,07-02-2023,18:00,31-01-2023,Premium,-1,501.95,,,Cash,Pending,Box Office,,5,Cancelled,,TRUE,BKG51128,,Combo,FREESNACK,0
ORD101958,CUST87975,Amit Sharma,amit611@example.com,9.17185E+11,Hidden Truths,,Kolkata,10-09-2021,16:15,03-09-2021,Premium,0,445.83,15,,Online,Failed,Third-Party,,6,,Agent C,TRUE,BKG27926,Screen 1,Single,,0
ORD101540,CUST50278,Amit Sharma,amit4@example.com,,The Last Frontier,Grand Theatre,Mumbai,26-05-2023,12:15,14-05-2023,premium ,2,1118.35,50,1128.35,Online,Pending,online,"A16,C30",4,Cancelled,Agent B,TRUE,BKG52107,,,save10,0
ORD104825,CUST91246,Amit Sharma,amit261@example.com,,Hidden Truths,Inox Mall,Ahmedabad,23-07-2023,21:30,22-07-2023,Balcony,0,239.26,15,,UPI,Paid,,,,Cancelled,,TRUE,BKG64814,Screen 3,Combo,,
ORD105390,CUST40046,Ravi Kumar,ravi261@example.com,9.1956E+11,Broken Strings,Inox Mall,Bengaluru,18-05-2019,12:30,28-04-2019,VIP,3,1088.19,25,2428.43,,,Box Office,"C13,C8,A26",,,Agent A,TRUE,BKG87669,Screen 2,Family,NEW50,
ORD103057,CUST60658,John Doe,john630@example.com,9.18221E+11,Ocean's Whisper,Cinepolis Plaza,,30-05-2022,22:45,01-05-2022,Balcony,2,874.37,5,1671.3,Cash,Failed,online,"A8,B3",2,VIP guest,,FALSE,BKG85139,Screen 3,Family,NEW50,0
ORD100408,CUST23167,,user180@example.com,9.17632E+11,,PVR Phoenix,Hyderabad,09-07-2021,13:15,02-07-2021,Reguler,0,289.89,5,,UPI,,online,,1,,Agent B,FALSE,BKG14304,,Single,,100
ORD101125,CUST93301,,user304@example.com,12345,Space Riders,,Hyderabad,27-05-2025,12:30,13-05-2025,premium ,0,1304.6,50,2085.77,UPI,,Box Office,,1,Cancelled,Agent C,FALSE,BKG33892,,Single,FREESNACK,50
ORD104148,CUST92060,,user115@example.com,,House of Tricks,,Chennai,13-06-2019,14:30,28-05-2019,Reguler,1,1089.87,5,1045.38,Online,Pending,online,B4,2,,Agent A,FALSE,BKG71656,Screen 1,Family,NEW50,0
ORD102250,CUST49550,Priya Singh,priya918@example.com,98765 43210,Ocean's Whisper,,Ahmedabad,05-12-2019,15:00,21-11-2019,premium ,4,1097.85,15,3712.68,card,Failed,Third-Party,"A22,A23,C21,C14",2,,,TRUE,BKG46570,Screen 2,Single,,100
ORD106928,CUST3992,,user552@example.com,9.17777E+11,Ocean's Whisper,Regal Cinema,,13-06-2025,22:15,24-05-2025,premium ,1,823.62,,803.62,Cahs,,,B29,1,Cancelled,Agent B,TRUE,BKG96329,Screen 1,Combo,save10,200
ORD102963,CUST8924,John Doe,john418@example.com,,,Grand Theatre,,16-06-2022,16:30,29-05-2022,Reguler,4,495.35,,1981.41,UPI,Paid,Box Office,"B9,C9,A26,B28",1,,Agent C,FALSE,BKG83074,,Family,save10,100
